Epoch:   65  train loss: 0.573  valid loss: 0.580  train accuracy: 0.728  valid accuracy: 0.719
Epoch:   66  train loss: 0.573  valid loss: 0.580  train accuracy: 0.730  valid accuracy: 0.719
Epoch:   67  train loss: 0.574  valid loss: 0.580  train accuracy: 0.724  valid accuracy: 0.719
Epoch:   68  train loss: 0.572  valid loss: 0.580  train accuracy: 0.723  valid accuracy: 0.719
Epoch:   69  train loss: 0.578  valid loss: 0.580  train accuracy: 0.716  valid accuracy: 0.719
Epoch:   70  train loss: 0.573  valid loss: 0.580  train accuracy: 0.719  valid accuracy: 0.719
Epoch:   71  train loss: 0.578  valid loss: 0.580  train accuracy: 0.721  valid accuracy: 0.719
Epoch:   72  train loss: 0.576  valid loss: 0.580  train accuracy: 0.731  valid accuracy: 0.719
Epoch:   73  train loss: 0.577  valid loss: 0.580  train accuracy: 0.729  valid accuracy: 0.719
Epoch:   74  train loss: 0.574  valid loss: 0.580  train accuracy: 0.726  valid accuracy: 0.719
Epoch:   75  train loss: 0.575  valid loss: 0.580  train accuracy: 0.725  valid accuracy: 0.719
Epoch:   76  train loss: 0.579  valid loss: 0.580  train accuracy: 0.723  valid accuracy: 0.719
Epoch:   77  train loss: 0.571  valid loss: 0.580  train accuracy: 0.728  valid accuracy: 0.719
Epoch:   78  train loss: 0.578  valid loss: 0.580  train accuracy: 0.723  valid accuracy: 0.719
Epoch:   79  train loss: 0.579  valid loss: 0.580  train accuracy: 0.717  valid accuracy: 0.719
Epoch:   80  train loss: 0.574  valid loss: 0.580  train accuracy: 0.727  valid accuracy: 0.719
Epoch:   81  train loss: 0.574  valid loss: 0.580  train accuracy: 0.731  valid accuracy: 0.719
Epoch:   82  train loss: 0.572  valid loss: 0.580  train accuracy: 0.726  valid accuracy: 0.719
Epoch:   83  train loss: 0.574  valid loss: 0.580  train accuracy: 0.731  valid accuracy: 0.719
Epoch:   84  train loss: 0.577  valid loss: 0.580  train accuracy: 0.727  valid accuracy: 0.721
Epoch:   85  train loss: 0.570  valid loss: 0.580  train accuracy: 0.732  valid accuracy: 0.719
Epoch:   86  train loss: 0.572  valid loss: 0.580  train accuracy: 0.734  valid accuracy: 0.721
Epoch:   87  train loss: 0.570  valid loss: 0.580  train accuracy: 0.732  valid accuracy: 0.719
Epoch:   88  train loss: 0.578  valid loss: 0.580  train accuracy: 0.728  valid accuracy: 0.719
Epoch:   89  train loss: 0.573  valid loss: 0.580  train accuracy: 0.714  valid accuracy: 0.719
Epoch:   90  train loss: 0.574  valid loss: 0.580  train accuracy: 0.724  valid accuracy: 0.719
Epoch:   91  train loss: 0.579  valid loss: 0.580  train accuracy: 0.714  valid accuracy: 0.719
Epoch:   92  train loss: 0.573  valid loss: 0.580  train accuracy: 0.725  valid accuracy: 0.719
Epoch:   93  train loss: 0.579  valid loss: 0.580  train accuracy: 0.723  valid accuracy: 0.719
Epoch:   94  train loss: 0.569  valid loss: 0.580  train accuracy: 0.729  valid accuracy: 0.719
Epoch:   95  train loss: 0.575  valid loss: 0.580  train accuracy: 0.723  valid accuracy: 0.719
Epoch:   96  train loss: 0.581  valid loss: 0.580  train accuracy: 0.716  valid accuracy: 0.719
Epoch:   97  train loss: 0.576  valid loss: 0.580  train accuracy: 0.726  valid accuracy: 0.719
Epoch:   98  train loss: 0.582  valid loss: 0.580  train accuracy: 0.712  valid accuracy: 0.719
Epoch:   99  train loss: 0.577  valid loss: 0.580  train accuracy: 0.714  valid accuracy: 0.719
Epoch:  100  train loss: 0.575  valid loss: 0.580  train accuracy: 0.722  valid accuracy: 0.719

** max_valid_acc = 0.721 when epoch = 58
